"_id","display_name","id","rkd_uri","viaf_uri","wikidata_uri","viaf_alternate"
"cross, henri-edmond","Henri-Edmond Cross",44504,"http://explore.rkd.nl/nl/explore/artists/19261","http://viaf.org/viaf/41997059","http://www.wikidata.org/wiki/Q555224","Delacroix,アンリ＝エドモン・クロス,Henri Edmond Delacroix,Henri-Edmond-Joseph Delacroix,ہنری ایڈمنڈ کراس,Delacroix, Henri-Edmond,Edmond Cross,Delacroix, Henri Edmond Joseph,Henri Edmond Cross,H.E. Cross,Անրի Կրոսս,X,Henri-Edmond Delacroix,Henri-Edmond Cross,Анри Кросс,Cross, Henri-Edmond"
"cruyl, lieven","Lieven Cruyl",69851,"http://explore.rkd.nl/nl/explore/artists/19315","http://viaf.org/viaf/212794045",,"Lieven De Cruyl,Livinus Cruylius,Levyn Kruyl,Levin Cruyl,Lieven de Cruyl,Livinus Cruylius Cruyl,Lieven Cruyl,Liévin Cruyl,Lievin Cruyl,Cruyl, Lieven"
"cuyck, frans van","Frans van Cuyck",59120,"http://explore.rkd.nl/nl/explore/artists/19488","http://viaf.org/viaf/95733470",,"Frans van Cuyck,Frans Van Cuyck De Mierhop,Frans van Cuyck de Mierop,van Kuijck,Frans Cuyck van Myerop,Frans van Cuyck de Myerhop,Frans van Cuyck de Mierhop,Frans Cuyck Van Myerop,Frans Van Myerhop,Frans Van Mierop,Frans Van Mirop,Frans van Cuyck de Mirop,Cuyck, Frans van"
"cuyper, alphonse de","Alphonse De Cuyper",782,"http://explore.rkd.nl/nl/explore/artists/20566",,"http://www.wikidata.org/wiki/Q4735333",",Cuyper, Alphonse De,Alphonse De Cuyper"
"d'haese, roel","Roel D'Haese",6016,"http://explore.rkd.nl/nl/explore/artists/19542","http://viaf.org/viaf/95182083","http://www.wikidata.org/wiki/Q2161417","Roel d' Haese,ロール・ダーズ,Roel d' Haese,Roel d'Haese,Roel D' Haese,Roel D’Haese,Roel D'Haese,Haese,d'Haese, Roel"
"d'hanens, g.","G. d'Hanens",18130,"http://explore.rkd.nl/nl/explore/artists/22474",,,",d'Hanens, G.,G. d'Hanens"
"d'haveloose, marnix","Marnix D'Haveloose",547,"http://explore.rkd.nl/nl/explore/artists/22480",,,",D'Haveloose, Marnix,Marnix D'Haveloose"
"d'hondecoeter, melchior","Melchior d'Hondecoeter",63631,"http://explore.rkd.nl/nl/explore/artists/39400","http://viaf.org/viaf/34726067","http://www.wikidata.org/wiki/Q304411","Melchior d' Hondikoetor,Melchior De Hondekoeter,Melchior d' Hondicoeter,מלכיור הונדקיטר,Melchior d' Hondikoeter,Melchior D'Hondecoeter,Melchior d' Hondecoeter,Մելխիոր դե Խոնդեկուտեր,メルヒオール・ドンデクーテル,Melchior d' Hondiköeter,Melchior d' Hondekooter,Мельхіор де Гондекутер,Melchior d' Hondecoutre,Hondecoutre,Melchior d' Hondicooter,Melchior Hondecoeter,Melchior de Hondecooter,Melchior de Eondekoeter,Melchior Hondekoeter,Melchior d' Hondicuter,Melchior d' Handycoutre,Melchior D' Hondecoeter,Melchior de Hondecoutre,Мельхиор де Хондекутер,Melchior van Hondecoeter,Hondecoeter,Melchior d' Hondekoeter,Melchior d' Hondikuter,Melchior De Hondecoeter,Melchior d' Honde Kooter,Melchior d' Hondikooter,Melchior d' Hondekoote,Melchior De Hondecoutre,Milchior Hondekoeter,D' Hondecoeter,D' Hondecoutre,Melchior de Hondekoeter,Melchior d' Hondekoter,Melchior d' Hondecoeter,Melchior de Hondekoet,Hondekoeter,Melchior d'Hondecoeter,Melchior de Hondekoter,D' Hondekoeter,Melchior d' Handecoutre,Melchior d' Handekoeter,Melchior de Hondecoeter,מלכיור הונדקטר,D'Hondecoeter, Melchior"
"d'huyvetter, j. benoît","J. Benoît D'Huyvetter",68535,,,,",D'Huyvetter, J. Benoît,J. Benoît D'Huyvetter"
"d'huyvetter, johannes augustinus","Johannes Augustinus D'Huyvetter",68564,,"http://viaf.org/viaf/95986033",,"Johannes Augustinus d' Huyvetter,D'Huyvetter, Johannes Augustinus,Johannes Augustinus D'Huyvetter"
"damien, jos","Jos Damien",1099,"http://explore.rkd.nl/nl/explore/artists/19873","http://viaf.org/viaf/283747194",,",Damien, Jos,Jos Damien"
"damme, raf","Raf Damme",76049,,,,",Damme, Raf,Raf Damme"
"damme, suzanne van","Suzanne Van Damme",1255,"http://explore.rkd.nl/nl/explore/artists/79186","http://viaf.org/viaf/36798564",,"Suzanne VanDamme,Elisabeth van Damme,Damme,Suzanne van Damme,Suzanne van Damme,S. van Damme,Suzanne Van Damme,Damme, Suzanne Van"
"danckerts, cornelis","Cornelis Danckerts I",75327,"http://explore.rkd.nl/nl/explore/artists/19919","http://viaf.org/viaf/98333765",,"Cornelis Danckerus,Van Seevenhoven,Cornelis Danckerts van Sevenhoven,Cornelis II Danckerts,Dankerum,Kornelis‏ Danckerts,Dankertz,Корнелис Данкертс,Cornelis Dankertsz,Van Zeevenhoven,C. Danck.,Kornelis Danckerts,Cornelis Danckertsz. van Seevenhoven,Cornelis, I Danckerts,Cornelis I Danckerts,C. Danck,Cornelis Danckertaz,Dancker,Seevenhoven,Corneille Dankers,Cornelis Danckertsz Van Zeevenhoven,Cornelis Danckertsz,Cornelis Danckaerts,Cornelis Dankers,Zeevenhoven,Cornelius Dankerus,Cornelis Danckers,Kornelis‏ ‎ Danckerts,Cornelis Dankerts,Cornelis Danckertz,Dankertsz,Corneille Danckertz,Kornelis ‎ Danckerts,Cornelis Danckerts,Cornelio Dancherts,Cornelis Danckaertz,C.D.,C.D,Cornelis Danquerts,Cornelis‏ Danckerus,Danckert,Cornelis Danckerts de Rij,Cornelis‏ Danckertsz,Cornelis Danckertsz Van Seevenhoven,Cornelis van Sevenhoven,Cornelius Danckerts,Danckerts, Cornelis,Cornelis Danckerts I"
"daniel-dupuis, jean-baptiste","Jean-Baptiste Daniel-Dupuis",54004,,"http://viaf.org/viaf/160752248","http://www.wikidata.org/wiki/Q3013986","Jean-Baptiste Daniel-Dupuis,Jean-Baptiste-Daniel Dupuis,Jean Baptiste Daniel-Dupuis,Daniel Jean Baptiste Dupuis,Dupuis,Daniel-Dupuis, Jean-Baptiste"
"danse, auguste","Auguste Danse",724,"http://explore.rkd.nl/nl/explore/artists/20009","http://viaf.org/viaf/74125430","http://www.wikidata.org/wiki/Q1945806","Danse,Auguste Danse,Auguste Michel Danse,Danse, Auguste"
"dantan, joseph edouard","Joseph Edouard Dantan",532,"http://explore.rkd.nl/nl/explore/artists/20017","http://viaf.org/viaf/37190051",,"Joseph Édouard Dantan,Edouard Dantan,エドワール・ジョゼフ・ダンタン,Louis-Édouard Dantan,Louis-Édouard Dantan,Édouard Dantan,Édouard-Joseph Dantan,Dantan,Édouard-Joseph Dantan,Édouard Joseph Dantan,Joseph Edouard Dantan,Эдуар Жозеф Дантан,Joseph Édouard Dantan,Dantan, Joseph Edouard"
