_id,workPid,dataPid
1898-I,http://mskgent.be/collection/work/id/1898-I,http://mskgent.be/collection/work/data/1898-I
1898-J,http://mskgent.be/collection/work/id/1898-J,http://mskgent.be/collection/work/data/1898-J
1898-K,http://mskgent.be/collection/work/id/1898-K,http://mskgent.be/collection/work/data/1898-K
1899-A,http://mskgent.be/collection/work/id/1899-A,http://mskgent.be/collection/work/data/1899-A
1899-B,http://mskgent.be/collection/work/id/1899-B,http://mskgent.be/collection/work/data/1899-B
1899-C,http://mskgent.be/collection/work/id/1899-C,http://mskgent.be/collection/work/data/1899-C
1899-D,http://mskgent.be/collection/work/id/1899-D,http://mskgent.be/collection/work/data/1899-D
1899-E,http://mskgent.be/collection/work/id/1899-E,http://mskgent.be/collection/work/data/1899-E
1899-F,http://mskgent.be/collection/work/id/1899-F,http://mskgent.be/collection/work/data/1899-F
1899-G,http://mskgent.be/collection/work/id/1899-G,http://mskgent.be/collection/work/data/1899-G
1899-H,http://mskgent.be/collection/work/id/1899-H,http://mskgent.be/collection/work/data/1899-H
1899-I,http://mskgent.be/collection/work/id/1899-I,http://mskgent.be/collection/work/data/1899-I
1899-J,http://mskgent.be/collection/work/id/1899-J,http://mskgent.be/collection/work/data/1899-J
1899-L,http://mskgent.be/collection/work/id/1899-L,http://mskgent.be/collection/work/data/1899-L
1899-M,http://mskgent.be/collection/work/id/1899-M,http://mskgent.be/collection/work/data/1899-M
1899-N,http://mskgent.be/collection/work/id/1899-N,http://mskgent.be/collection/work/data/1899-N
1899-O,http://mskgent.be/collection/work/id/1899-O,http://mskgent.be/collection/work/data/1899-O
1900-A,http://mskgent.be/collection/work/id/1900-A,http://mskgent.be/collection/work/data/1900-A
1900-B,http://mskgent.be/collection/work/id/1900-B,http://mskgent.be/collection/work/data/1900-B
1900-C,http://mskgent.be/collection/work/id/1900-C,http://mskgent.be/collection/work/data/1900-C
1900-D,http://mskgent.be/collection/work/id/1900-D,http://mskgent.be/collection/work/data/1900-D
1900-E,http://mskgent.be/collection/work/id/1900-E,http://mskgent.be/collection/work/data/1900-E
1900-F,http://mskgent.be/collection/work/id/1900-F,http://mskgent.be/collection/work/data/1900-F
1900-G,http://mskgent.be/collection/work/id/1900-G,http://mskgent.be/collection/work/data/1900-G
1900-H,http://mskgent.be/collection/work/id/1900-H,http://mskgent.be/collection/work/data/1900-H
1901-A,http://mskgent.be/collection/work/id/1901-A,http://mskgent.be/collection/work/data/1901-A
1901-B,http://mskgent.be/collection/work/id/1901-B,http://mskgent.be/collection/work/data/1901-B
1901-C,http://mskgent.be/collection/work/id/1901-C,http://mskgent.be/collection/work/data/1901-C
1901-D,http://mskgent.be/collection/work/id/1901-D,http://mskgent.be/collection/work/data/1901-D
1901-E,http://mskgent.be/collection/work/id/1901-E,http://mskgent.be/collection/work/data/1901-E
1902-A,http://mskgent.be/collection/work/id/1902-A,http://mskgent.be/collection/work/data/1902-A
1902-AA,http://mskgent.be/collection/work/id/1902-AA,http://mskgent.be/collection/work/data/1902-AA
1902-B,http://mskgent.be/collection/work/id/1902-B,http://mskgent.be/collection/work/data/1902-B
1902-BB,http://mskgent.be/collection/work/id/1902-BB,http://mskgent.be/collection/work/data/1902-BB
1902-C,http://mskgent.be/collection/work/id/1902-C,http://mskgent.be/collection/work/data/1902-C
1902-CC,http://mskgent.be/collection/work/id/1902-CC,http://mskgent.be/collection/work/data/1902-CC
1902-D,http://mskgent.be/collection/work/id/1902-D,http://mskgent.be/collection/work/data/1902-D
1902-DD,http://mskgent.be/collection/work/id/1902-DD,http://mskgent.be/collection/work/data/1902-DD
1902-E,http://mskgent.be/collection/work/id/1902-E,http://mskgent.be/collection/work/data/1902-E
1902-EE,http://mskgent.be/collection/work/id/1902-EE,http://mskgent.be/collection/work/data/1902-EE
1902-F,http://mskgent.be/collection/work/id/1902-F,http://mskgent.be/collection/work/data/1902-F
1902-G,http://mskgent.be/collection/work/id/1902-G,http://mskgent.be/collection/work/data/1902-G
1902-H,http://mskgent.be/collection/work/id/1902-H,http://mskgent.be/collection/work/data/1902-H
1902-I,http://mskgent.be/collection/work/id/1902-I,http://mskgent.be/collection/work/data/1902-I
1902-J,http://mskgent.be/collection/work/id/1902-J,http://mskgent.be/collection/work/data/1902-J
1902-K,http://mskgent.be/collection/work/id/1902-K,http://mskgent.be/collection/work/data/1902-K
1902-L,http://kunstenenerfgoed.be/CVG/collection/work/id/1371,http://mskgent.be/collection/work/data/1902-L
1902-M,http://mskgent.be/collection/work/id/1902-M,http://mskgent.be/collection/work/data/1902-M
1902-N,http://mskgent.be/collection/work/id/1902-N,http://mskgent.be/collection/work/data/1902-N
1902-O,http://mskgent.be/collection/work/id/1902-O,http://mskgent.be/collection/work/data/1902-O
1902-P,http://kunstenenerfgoed.be/CVG/collection/work/id/1367,http://mskgent.be/collection/work/data/1902-P
1902-Q,http://mskgent.be/collection/work/id/1902-Q,http://mskgent.be/collection/work/data/1902-Q
